DATE;TICKER;VALUE;VALUE_D-1;TYPOLOGY;LABEL;ENTITIES;VARV;VARP;DERNIERE_DATE;W_L;DATE_MAJ
2019-12-31;^GSPC;3230,780029;;INDICE;S&P 500;AMERICAS;;;0;;2021/10/06 22:00:01
2020-01-02;^GSPC;3257,850098;3230,780029;INDICE;S&P 500;AMERICAS;27,070068999999876;0,00837880287639969;0;1,0;2021/10/06 22:00:01
2020-01-03;^GSPC;3234,850098;3257,850098;INDICE;S&P 500;AMERICAS;-23,0;-0,007059870561300454;0;0,0;2021/10/06 22:00:01
2020-01-06;^GSPC;3246,280029;3234,850098;INDICE;S&P 500;AMERICAS;11,429931000000124;0,003533372692313276;0;1,0;2021/10/06 22:00:01
2020-01-07;^GSPC;3237,179932;3246,280029;INDICE;S&P 500;AMERICAS;-9,100097000000005;-0,002803238450998093;0;0,0;2021/10/06 22:00:01
2020-01-08;^GSPC;3253,050049;3237,179932;INDICE;S&P 500;AMERICAS;15,870116999999937;0,004902451310513047;0;1,0;2021/10/06 22:00:01
2020-01-09;^GSPC;3274,699951;3253,050049;INDICE;S&P 500;AMERICAS;21,64990200000011;0,006655262499467345;0;1,0;2021/10/06 22:00:01
2020-01-10;^GSPC;3265,350098;3274,699951;INDICE;S&P 500;AMERICAS;-9,349853000000167;-0,0028551785323553043;0;0,0;2021/10/06 22:00:01
2020-01-13;^GSPC;3288,129883;3265,350098;INDICE;S&P 500;AMERICAS;22,779785000000174;0,006976215203984591;0;1,0;2021/10/06 22:00:01
2020-01-14;^GSPC;3283,149902;3288,129883;INDICE;S&P 500;AMERICAS;-4,9799809999999525;-0,0015145329342818885;0;0,0;2021/10/06 22:00:01
2020-01-15;^GSPC;3289,290039;3283,149902;INDICE;S&P 500;AMERICAS;6,140136999999868;0,0018701969703727125;0;1,0;2021/10/06 22:00:01
2020-01-16;^GSPC;3316,810059;3289,290039;INDICE;S&P 500;AMERICAS;27,52001999999993;0,00836655316913509;0;1,0;2021/10/06 22:00:01
2020-01-17;^GSPC;3329,620117;3316,810059;INDICE;S&P 500;AMERICAS;12,810058000000026;0,003862162069015851;0;1,0;2021/10/06 22:00:01
2020-01-21;^GSPC;3320,790039;3329,620117;INDICE;S&P 500;AMERICAS;-8,830077999999958;-0,002651977609973083;0;0,0;2021/10/06 22:00:01
2020-01-22;^GSPC;3321,75;3320,790039;INDICE;S&P 500;AMERICAS;0,9599610000000212;0,0002890760899442764;0;1,0;2021/10/06 22:00:01
2020-01-23;^GSPC;3325,540039;3321,75;INDICE;S&P 500;AMERICAS;3,790038999999979;0,0011409765936629724;0;1,0;2021/10/06 22:00:01
2020-01-24;^GSPC;3295,469971;3325,540039;INDICE;S&P 500;AMERICAS;-30,070067999999992;-0,009042160866312153;0;0,0;2021/10/06 22:00:01
2020-01-27;^GSPC;3243,629883;3295,469971;INDICE;S&P 500;AMERICAS;-51,84008799999992;-0,015730711690954722;0;0,0;2021/10/06 22:00:01
2020-01-28;^GSPC;3276,23999;3243,629883;INDICE;S&P 500;AMERICAS;32,61010699999997;0,010053584464402337;0;1,0;2021/10/06 22:00:01
2020-01-29;^GSPC;3273,399902;3276,23999;INDICE;S&P 500;AMERICAS;-2,8400879999999233;-0,0008668742243146611;0;0,0;2021/10/06 22:00:01
2020-01-30;^GSPC;3283,659912;3273,399902;INDICE;S&P 500;AMERICAS;10,260009999999966;0,00313435886453447;0;1,0;2021/10/06 22:00:01
2020-01-31;^GSPC;3225,52002;3283,659912;INDICE;S&P 500;AMERICAS;-58,139892000000145;-0,017705820200054914;0;0,0;2021/10/06 22:00:01
2020-02-03;^GSPC;3248,919922;3225,52002;INDICE;S&P 500;AMERICAS;23,39990200000011;0,007254613784725513;0;1,0;2021/10/06 22:00:01
2020-02-04;^GSPC;3297,590088;3248,919922;INDICE;S&P 500;AMERICAS;48,67016599999988;0,014980414158696486;0;1,0;2021/10/06 22:00:01
2020-02-05;^GSPC;3334,689941;3297,590088;INDICE;S&P 500;AMERICAS;37,09985300000017;0,011250595741116313;0;1,0;2021/10/06 22:00:01
2020-02-06;^GSPC;3345,780029;3334,689941;INDICE;S&P 500;AMERICAS;11,090087999999923;0,0033256729099900213;0;1,0;2021/10/06 22:00:01
2020-02-07;^GSPC;3327,709961;3345,780029;INDICE;S&P 500;AMERICAS;-18,070067999999992;-0,005400853565797882;0;0,0;2021/10/06 22:00:01
2020-02-10;^GSPC;3352,090088;3327,709961;INDICE;S&P 500;AMERICAS;24,380126999999902;0,007326397818839207;0;1,0;2021/10/06 22:00:01
2020-02-11;^GSPC;3357,75;3352,090088;INDICE;S&P 500;AMERICAS;5,659912000000077;0,0016884725205512068;0;1,0;2021/10/06 22:00:01
2020-02-12;^GSPC;3379,449951;3357,75;INDICE;S&P 500;AMERICAS;21,699951000000056;0,006462646415010068;0;1,0;2021/10/06 22:00:01
2020-02-13;^GSPC;3373,939941;3379,449951;INDICE;S&P 500;AMERICAS;-5,510009999999966;-0,001630445806238237;0;0,0;2021/10/06 22:00:01
2020-02-14;^GSPC;3380,159912;3373,939941;INDICE;S&P 500;AMERICAS;6,219970999999987;0,0018435334086464067;0;1,0;2021/10/06 22:00:01
2020-02-18;^GSPC;3370,290039;3380,159912;INDICE;S&P 500;AMERICAS;-9,869873000000098;-0,0029199426231169673;0;0,0;2021/10/06 22:00:01
2020-02-19;^GSPC;3386,149902;3370,290039;INDICE;S&P 500;AMERICAS;15,859863000000132;0,004705785797802114;0;1,0;2021/10/06 22:00:01
2020-02-20;^GSPC;3373,22998;3386,149902;INDICE;S&P 500;AMERICAS;-12,919922000000042;-0,00381551980093055;0;0,0;2021/10/06 22:00:01
2020-02-21;^GSPC;3337,75;3373,22998;INDICE;S&P 500;AMERICAS;-35,47998000000007;-0,010518102889622743;0;0,0;2021/10/06 22:00:01
